acertado	acertada
adaptable	adaptable
adecuado	adecuada
ágil	ágil
agradable	agradable
ambicioso	ambiciosa
alegre	alegre
amable	amable
apto	apta
atento	atenta
bondadoso	bondadosa
brillante	brillante
bueno	buena
calmado	calmada
capaz	capaz
coherente	coherente
compasivo	compasiva
contento	contenta
cordial	cordial
decidido	decidida
delicioso	deliciosa
detallista	detallista
dialogante	dialogante
educado	educada
eficaz	eficaz
eficiente	eficiente
encantador	encantadora
enorme	enorme
estupendo	estupenda
excepcional	excepcional
extraordinario	extraordinaria
fantástico	fantástica
feliz	feliz
fiel	fiel
genial	genial
gran	gran
hábil	hábil
hermoso	hermosa
honrado	honrada
independiente	independiente
ingenioso	ingeniosa
inteligente	inteligente
interesante	interesante
justo	justa
leal	leal
linda	linda
lógico	lógica
maravilloso	maravillosa
notable	notable
objetivo	objetiva
optimista	optimista
ordenado	ordenada
organizado	organizada
orgulloso	orgullosa
orientado	orientada
paciente	paciente
pacífico	pacífica
positivo	positiva
preparado	preparada
productivo	productiva
protector	protectora
prudente	prudente
puntual	puntual
rápido	rápida
razonable	razonable
respetuoso	respetuosa
responsable	responsable
sabio	sabia
seguro	segura
talentoso	talentosa
tenaz	tenaz
tolerante	tolerante
tranquilo	tranquila
único	única
válido	válida
valiente	valiente
adorable	adorable
cauto	cauta
precavido	precavida
jovial	jovial
listo	lista
equitativo	equitativa
imparcial	imparcial
simpático	simpática
amistoso	amistosa
generoso	generosa
trabajador	trabajadora
divertido	divertida
organizado	organizada
confiable	confiable
cariñoso	cariñosa
servicial	servicial
disciplinado	disciplinada
curioso	curiosa
elocuente	elocuente
persuasivo	persuasiva
modesto	modesta
tierno	tierna
gracioso	graciosa
honesto	honesta
