aburrido	aburrida
agresivo	agresiva
antipático	antipática
aprovechado	aprovechada
autoritario	autoritaria
avaricioso	avariciosa
bobo	boba
avaro	avara
ávido	ávida
caprichoso	caprichosa
celoso	celosa
cobarde	cobarde
codicioso	codiciosa
corrupto	corrupta
crédulo	crédula
creído	creída
critico	critica
cruel	cruel
dañino	dañina
débil	débil
desafiante	desafiante
desagradable	desagradable
desconsiderado	desconsiderada
deshonesto	deshonesta
desleal	desleal
desobediente	desobediente
desorganizado	desorganizada
despiadado	despiadada
despreciable	despreciable
egocéntrico	egocéntrica
egoísta	egoísta
engreído	engreída
envidioso	envidiosa
estricto	estricta
estúpido	estúpida
excéntrico	excéntrica
falso	falsa
farsante	farsante
feo	fea
fisgón	fisgona
frívolo	frívola
hipócrita	hipócrita
horrible	horrible
imbécil	imbécil
impaciente	impaciente
imprevisible	imprevisible
imprudente	imprudente
indiscreto	indiscreta
inepto	inepta
infiel	infiel
influenciable	influenciable
ingenuo	ingenua
inseguro	insegura
insoportable	insoportable
intolerante	intolerante
irrespetuoso	irrespetuosa
loco	loca
maleducado	maleducada
malhumorado	malhumorada
malicioso	maliciosa
malo	mala
malvado	malvada
mandón	mandona
materialista	materialista
mentiroso	mentirosa
mezquino	mezquina
negativo	negativa
negligente	negligente
olvidadizo	olvidadiza
pánfilo	pánfila
pedante	pedante
pendenciero	pendenciera
perdedor	perdedora
perezoso	perezosa
pesado	pesada
pesimista	pesimista
posesivo	posesiva
presumido	presumida
provocador	provocadora
quisquilloso	quisquillosa
raro	rara
rencoroso	rencorosa
resentido	resentida
tacaño	tacaña
terco	terca
testarudo	testaruda
tímido	tímida
tirano	tirana
tonto	tonta
torpe	torpe
tramposo	tramposa
travieso	traviesa
vago	vaga
vanidoso	vanidosa
vengativo	vengativa
vergonzoso	vergozosa
vicioso	viciosa
violento	violenta
zoquete	zoquete
flipado	flipada
