abogado	abogada
acompañante turístico	acompañante turístico
actor	actriz
actuario	actuaria
adiestrador	adiestradora
adivinador	adivinadora
administrador	administradora
administrativo	administrativa
afilador	afiladora
agente	agente
albañil	albañil
alfarero	alfarera
analista	analista
animador comunitario	animador comunitario
antropólogo	antropóloga
archivista	archivista
arqueólogo	arqueóloga
arquitecto	arquitecta
artesano	artesana
artista	artista
asesor	asesora
asistente	asistenta
astrólogo	astróloga
astrónomo	astrónoma
atleta	atleta
autónomo	autónoma
auxiliar	auxiliar
ayudante	ayudante
azafato	azafata
bailarín	bailarína
barrendero	barrendera
bibliotecario	bibliotecaria
biólogo	bióloga
bombero	bombera
bordador	bordadora
botánico	botánica
buceador	buceadora
cajero	cajera
camarero	camarera
cantante	cantante
cantera	cantera
cantero	cantero
capitán	capitana
carpintero	carpintera
cartógrafo	cartógrafa
catador	catadora
chapista	chapista
chef	chef
clasificador	clasificadora
cobrador	cobradora
cocinero	cocinera
codificador	codificadora
comercial	comercial
comerciante	comerciante
compositor	compositora
conductor	conductora
confitero	confitera
conserje	conserje
conservador	conservadora
controlador	controladora
coreógrafo	coreógrafa
corrector	correctora
cortador	cortadora
costurero	costurera
cristalero	cristalera
cuidador	cuidadora
curtidor	curtidora
decorador	decoradora
delineante	delineante
deportista	deportista
desarrollador	desarrolladora
descargador	descargadora
detective	detective
dibujante	dibujante
dietista	dietista
director	directora
diseñador	diseñadora
documentalista	documentalista
ebanista	ebanista
economista	economista
educador	educadora
embalsamador	embalsamadora
empapelador	empapeladora
empleado	empleada
encofrador	encofradora
enfermero	enfermera
enólogo	enóloga
ensamblador	ensambladora
entrenador	entrenadora
escayolista	escayolista
escritor	escritora
estomatólogo	estomatóloga
farmacéutico	farmacéutica
filólogo	filóloga
filósofo	filósofa
fiscal	fiscala
fisioterapeuta	fisioterapeuta
fontanero	fontanera
forjador	forjadora
fotógrafo	fotógrafa
fumigador	fumigadora
geofísico	geofísica
geógrafo	geógrafa
geólogo	geóloga
gerente	gerenta
grabador	grabadora
guardia	guardia
guía	guía
herrero	herrera
historiador	historiadora
ingeniero	ingeniera
ingeniero	ingeniera
instalador	instaladora
intérprete	intérprete
jefe	jefa
joyero	joyera
juez	jueza
labrante	labrante
laminador	laminadora
limpiabotas	limpiabotas
limpiador	limpiadora
locutor	locutora
logopeda	logopeda
maestro	maestra
magistrado	magistrada
maquinista	maquinista
marinero	marinera
matarife	matarife
matemático	matemática
matrono	matrona
mayordomo	mayordoma
mecánico	mecánica
mediador	mediadora
médico	médica
minero	minera
modelador	modeladora
modelo	modelo
modista	modista
moldeador	moldeadora
monitor	monitora
montador	montadora
mozo	moza
músico	música
notario	notaria
nutricionista	nutricionista
odontólogo	odontóloga
oficial	oficiala
operador	operadora
operario	operaria
optometrista	optometrista
orfebre	orfebre
organizador	organizadora
panadero	panadera
pastelero	pastelera
peletero	peletera
peluquero	peluquera
peón	peona
periodista	periodista
personal	personal
pescador	pescadora
piloto	piloto
pintor	pintora
podólogo	podóloga
policía	policía
portavoz	portavoz
preparador	preparadora
presidente	presidenta
probador	probadora
procurador	procuradora
profesor	profesora
programador	programadora
psicólogo	psicóloga
pulidor	pulidora
químico	química
recaudador	recaudadora
recepcionista	recepcionista
recogedor	recogedora
registrador	registradora
relaciones	relaciones
relojero	relojera
reparador	reparadora
repartidor	repartidora
reponedor	reponedora
representante	representante
revisor	revisora
rotulista	rotulista
sacerdote	sacerdotisa
sastre	sastra
secretario	secretaria
sociólogo	socióloga
socorrista	socorrista
soldador	soldadora
sombrerero	sombrerera
sondista	sondista
soplador	sopladora
supervisor	supervisora
tapicero	tapicera
taquillero	taquillera
tasador	tasadora
telefonista	telefonista
teleoperador	teleoperadora
terapeuta	terapeuta
traductor	traductora
vendedor	vendedora
veterinario	veterinaria
vigilante	vigilante
zapatero	zapatera
zoólogo	zoóloga
